Local time in Chuxiong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,21.1,610.6,754.9,0.7,24,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,24.3,,,2500 or more  or no clouds.,,,30.0,-0.2,No precipitation,12,,,,
07.04.2020 17:00,22.7,609.9,753.2,-1.6,21,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,24.5,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
07.04.2020 14:00,22.3,611.5,754.0,-1.9,24,Wind blowing from the south-southwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,24.8,,,2500 or more  or no clouds.,,,30.0,0.8,No precipitation,12,,,,
07.04.2020 11:00,20.9,613.4,756.3,0.3,27,Wind blowing from the south-east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,24.8,,,2500 or more  or no clouds.,,,25.0,1.2,No precipitation,12,,,,
07.04.2020 08:00,11.2,613.1,758.0,1.0,47,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,24.8,,,2500 or more  or no clouds.,,,30.0,0.3,No precipitation,12,,,,
07.04.2020 05:00,12.9,612.1,755.5,-0.2,40,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,,,10.1,24.8,,,2500 or more  or no clouds.,,,30.0,-0.4,No precipitation,12,,,,
07.04.2020 02:00,17.4,612.3,754.9,,25,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,24.8,,,2500 or more  or no clouds.,,,30.0,-2.8,No precipitation,12,,,,
06.04.2020 20:00,21.3,610.5,754.9,0.7,19,Wind blowing from the south-west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,24.8,,,2500 or more  or no clouds.,,,30.0,-3.2,No precipitation,12,,,,
06.04.2020 17:00,24.4,609.8,752.3,-1.4,19,Wind blowing from the west,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,24.8,,,2500 or more  or no clouds.,,,30.0,-0.7,No precipitation,12,,,,
06.04.2020 14:00,22.9,611.2,754.5,-2.7,23,Wind blowing from the west,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,23.0,,,2500 or more  or no clouds.,,,30.0,0.7,No precipitation,12,,,,
06.04.2020 11:00,20.3,613.9,757.7,0.3,29,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.5,,,2500 or more  or no clouds.,,,23.0,1.7,No precipitation,12,,,,
06.04.2020 08:00,10.9,613.6,759.2,0.8,56,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,22.5,,,2500 or more  or no clouds.,,,24.0,2.5,No precipitation,12,,,,
06.04.2020 05:00,14.3,612.8,756.7,-0.4,34,Wind blowing from the south-southwest,3,,12,,Cloud development not observed or not observable. ,,,8.4,22.5,,,2500 or more  or no clouds.,,,30.0,-1.3,No precipitation,12,,,,
06.04.2020 02:00,13.7,613.2,757.9,,62,Wind blowing from the south-west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.5,,,2500 or more  or no clouds.,,,10.0,6.6,No precipitation,12,,,,
05.04.2020 20:00,19.7,611.9,757.6,0.6,40,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.5,,,2500 or more  or no clouds.,,,26.0,5.7,No precipitation,12,,,,
05.04.2020 17:00,21.7,611.3,756.1,-1.9,34,Wind blowing from the south,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.5,,,2500 or more  or no clouds.,,,28.0,5.2,No precipitation,12,,,,
05.04.2020 14:00,19.7,613.2,758.4,,40,Wind blowing from the south-southwest,5,,9,, ,,,8.4,21.3,,,,,,30.0,5.7,No precipitation,6,,,,
05.04.2020 11:00,19.7,614.9,760.1,0.0,38,Wind blowing from the south,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,19.7,,,2500 or more  or no clouds.,,,20.0,5.0,No precipitation,12,,,,
05.04.2020 08:00,9.2,614.9,762.1,1.3,80,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.5,,,2500 or more  or no clouds.,,,15.0,5.8,No precipitation,12,,,,
05.04.2020 05:00,9.6,613.6,760.5,-0.6,82,Wind blowing from the north-west,1,,6,,Mist. ,,,9.6,17.5,,,2500 or more  or no clouds.,,,7.0,6.7,0.2,12,,,,
05.04.2020 02:00,11.8,614.2,761.2,,79,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,17.5,,,2500 or more  or no clouds.,,,16.0,8.3,0.5,12,,,,
04.04.2020 20:00,16.7,613.4,759.1,0.2,51,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,21.3,,,2500 or more  or no clouds.,,,27.0,6.5,3.0,12,,,,
04.04.2020 17:00,16.0,613.2,759.0,,64,Wind blowing from the south-southwest,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,,,,26.0,9.2,3.0,6,,,,
