Local time in Jinghong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,30.7,704.4,752.9,0.8,26,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,36.0,,,2500 or more  or no clouds.,,,8.0,9.0,No precipitation,12,,,,
07.04.2020 17:00,35.4,703.6,751.6,-2.6,17,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,36.0,,,2500 or more  or no clouds.,,,11.0,6.6,No precipitation,12,,,,
07.04.2020 14:00,34.3,706.2,754.2,-2.8,18,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,36.3,,,2500 or more  or no clouds.,,,10.0,6.6,No precipitation,12,,,,
07.04.2020 11:00,27.3,709.0,757.6,0.9,34,Wind blowing from the south-east,1,,4,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,36.3,,,2500 or more  or no clouds.,,,7.0,10.1,No precipitation,12,,,,
07.04.2020 08:00,18.4,708.1,756.9,1.6,69,Wind blowing from the south-west,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,36.3,,,2500 or more  or no clouds.,,,5.0,12.6,No precipitation,12,,,,
07.04.2020 05:00,20.1,706.5,754.6,-0.1,55,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,,,20.1,36.3,,,2500 or more  or no clouds.,,,9.0,10.8,No precipitation,12,,,,
07.04.2020 02:00,22.6,706.6,754.6,,49,Wind blowing from the south-east,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,36.3,,,2500 or more  or no clouds.,,,9.0,11.4,No precipitation,12,,,,
06.04.2020 20:00,31.2,704.4,752.7,0.8,24,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,36.3,,,2500 or more  or no clouds.,,,10.0,8.3,No precipitation,12,,,,
06.04.2020 17:00,34.8,703.6,751.3,-2.7,21,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,36.3,,,2500 or more  or no clouds.,,,12.0,9.3,No precipitation,12,,,,
06.04.2020 14:00,35.6,706.3,754.0,-3.1,17,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,35.7,,,2500 or more  or no clouds.,,,10.0,6.8,No precipitation,12,,,,
