Local time in Kunming,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,14.0,607.9,757.9,1.7,68,Wind blowing from the south-southeast,1,,11,,Cloud development not observed or not observable. ,,,10.9,22.9,,,2500 or more  or no clouds.,,,11.0,8.2,No precipitation,12,,,,
07.04.2020 20:00,19.3,606.2,755.6,0.7,32,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,22.9,,,2500 or more  or no clouds.,,,23.0,2.2,No precipitation,12,,,,
07.04.2020 17:00,22.4,605.5,753.7,-1.6,27,Wind blowing from the west-southwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,22.9,,,2500 or more  or no clouds.,,,22.0,2.5,No precipitation,12,,,,
07.04.2020 14:00,18.9,607.1,756.6,-2.5,50,Wind blowing from the south-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,23.3,,,2500 or more  or no clouds.,,,12.0,8.3,No precipitation,12,,,,
07.04.2020 11:00,15.7,609.6,760.0,0.5,63,Wind blowing from the south-east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,12.0,8.7,No precipitation,12,,,,
07.04.2020 08:00,11.1,609.1,759.1,0.9,79,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,23.3,,,2500 or more  or no clouds.,,,10.0,7.6,No precipitation,12,,,,
07.04.2020 05:00,11.9,608.2,757.0,-0.4,77,Wind blowing from the east,2,,10,,Haze. ,,,9.5,23.3,,,2500 or more  or no clouds.,,,7.0,8.0,No precipitation,12,,,,
07.04.2020 02:00,12.0,608.6,757.8,0.7,77,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,23.3,,,2500 or more  or no clouds.,,,8.0,8.1,No precipitation,12,,,,
06.04.2020 23:00,14.1,607.9,757.2,2.0,71,Wind blowing from the north-northeast,3,,14,,Cloud development not observed or not observable. ,,,9.5,23.3,,,2500 or more  or no clouds.,,,13.0,8.9,No precipitation,12,,,,
06.04.2020 20:00,19.8,605.9,755.4,0.7,31,Wind blowing from the south-southwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,23.3,,,2500 or more  or no clouds.,,,25.0,2.2,No precipitation,12,,,,
