Local time in Lincang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,18.2,627.3,758.1,1.7,41,Wind blowing from the south-southeast,1,,10,,Cloud development not observed or not observable. ,,,10.6,27.1,,,2500 or more  or no clouds.,,,8.0,4.7,No precipitation,12,,,,
07.04.2020 20:00,21.5,625.6,757.0,0.9,30,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,27.1,,,2500 or more  or no clouds.,,,9.0,3.2,No precipitation,12,,,,
07.04.2020 17:00,25.6,624.7,754.7,-1.6,20,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,27.1,,,2500 or more  or no clouds.,,,13.0,1.0,No precipitation,12,,,,
07.04.2020 14:00,24.9,626.3,755.9,-1.9,21,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,26.8,,,2500 or more  or no clouds.,,,12.0,1.1,No precipitation,12,,,,
07.04.2020 11:00,18.1,628.2,759.1,0.8,36,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,26.8,,,2500 or more  or no clouds.,,,9.0,2.8,No precipitation,12,,,,
07.04.2020 08:00,10.8,627.4,759.1,0.9,53,Wind blowing from the south-southeast,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,26.8,,,2500 or more  or no clouds.,,,10.0,1.6,No precipitation,12,,,,
07.04.2020 05:00,12.0,626.5,756.7,-0.7,49,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,,,11.9,26.8,,,2500 or more  or no clouds.,,,10.0,1.6,No precipitation,12,,,,
07.04.2020 02:00,15.5,627.2,756.8,0.1,41,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,26.8,,,2500 or more  or no clouds.,,,9.0,2.3,No precipitation,12,,,,
06.04.2020 23:00,18.4,627.1,757.3,1.6,36,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,,,12.1,26.8,,,2500 or more  or no clouds.,,,10.0,3.1,No precipitation,12,,,,
06.04.2020 20:00,21.8,625.5,756.4,0.6,26,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,26.8,,,2500 or more  or no clouds.,,,10.0,1.5,No precipitation,12,,,,
06.04.2020 17:00,25.9,624.9,754.3,-1.6,21,Wind blowing from the west-northwest,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,26.8,,,2500 or more  or no clouds.,,,12.0,1.9,No precipitation,12,,,,
06.04.2020 14:00,25.7,626.5,755.3,-1.8,20,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,27.3,,,2500 or more  or no clouds.,,,14.0,1.1,No precipitation,12,,,,
06.04.2020 11:00,20.3,628.3,758.4,0.5,36,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,27.3,,,2500 or more  or no clouds.,,,10.0,4.8,No precipitation,12,,,,
06.04.2020 08:00,12.6,627.8,759.1,0.7,47,Wind blowing from the south-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,27.3,,,2500 or more  or no clouds.,,,11.0,1.6,No precipitation,12,,,,
06.04.2020 05:00,13.9,627.1,757.0,-1.2,38,Wind blowing from the south-east,2,,12,,Cloud development not observed or not observable. ,,,11.7,27.3,,,2500 or more  or no clouds.,,,12.0,-0.2,No precipitation,12,,,,
06.04.2020 02:00,17.9,628.3,758.1,0.1,27,Wind blowing from the north,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.3,,,2500 or more  or no clouds.,,,11.0,-1.3,No precipitation,12,,,,
05.04.2020 23:00,19.9,628.2,759.3,1.7,34,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,,,11.7,27.3,,,2500 or more  or no clouds.,,,9.0,3.6,No precipitation,12,,,,
05.04.2020 20:00,22.1,626.5,757.7,0.7,28,Wind blowing from the west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.3,,,2500 or more  or no clouds.,,,11.0,2.8,No precipitation,12,,,,
05.04.2020 17:00,26.3,625.8,755.8,-1.9,24,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.3,,,2500 or more  or no clouds.,,,13.0,4.1,No precipitation,12,,,,
05.04.2020 14:00,23.4,627.7,758.2,-2.1,28,Wind blowing from the north-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,24.0,,,2500 or more  or no clouds.,,,12.0,3.9,No precipitation,12,,,,
05.04.2020 11:00,15.8,629.8,762.1,0.9,58,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,23.7,,,2500 or more  or no clouds.,,,9.0,7.6,No precipitation,12,,,,
05.04.2020 08:00,12.1,628.9,760.8,0.9,70,Wind blowing from the south,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,23.7,,,2500 or more  or no clouds.,,,9.0,6.8,No precipitation,12,,,,
05.04.2020 05:00,12.2,628.0,759.4,-0.7,69,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,,,12.2,23.7,,,2500 or more  or no clouds.,,,9.0,6.7,No precipitation,12,,,,
05.04.2020 02:00,14.6,628.7,759.6,-0.3,60,Wind blowing from the south,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,23.7,,,2500 or more  or no clouds.,,,10.0,6.9,No precipitation,12,,,,
04.04.2020 23:00,16.4,629.0,760.9,1.3,52,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,,,13.0,23.7,,,2500 or more  or no clouds.,,,10.0,6.5,No precipitation,12,,,,
04.04.2020 20:00,21.2,627.7,759.0,0.6,37,Wind blowing from the south-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,23.7,,,2500 or more  or no clouds.,,,11.0,5.9,No precipitation,12,,,,
04.04.2020 17:00,22.6,627.1,757.9,-1.2,35,Wind blowing from the north-west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,26.5,,,2500 or more  or no clouds.,,,10.0,6.4,No precipitation,12,,,,
04.04.2020 14:00,22.7,628.3,758.7,-1.7,45,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,27.5,,,2500 or more  or no clouds.,,,9.0,10.2,No precipitation,12,,,,
04.04.2020 11:00,17.2,630.0,761.5,1.7,57,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,,,,2500 or more  or no clouds.,,,8.0,8.6,No precipitation,12,,,,
04.04.2020 08:00,13.3,628.3,759.4,0.6,71,Wind blowing from the west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.5,,,2500 or more  or no clouds.,,,8.0,8.0,No precipitation,12,,,,
04.04.2020 05:00,14.0,627.7,757.6,-0.4,66,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,,,11.7,27.5,,,2500 or more  or no clouds.,,,8.0,7.8,No precipitation,12,,,,
04.04.2020 02:00,16.0,628.1,757.5,-0.4,59,Wind blowing from the south-east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.5,,,2500 or more  or no clouds.,,,8.0,8.0,No precipitation,12,,,,
03.04.2020 23:00,18.4,628.5,759.3,1.4,50,Wind blowing from the south-southeast,2,,10,,Cloud development not observed or not observable. ,,,11.7,27.5,,,2500 or more  or no clouds.,,,8.0,7.8,No precipitation,12,,,,
03.04.2020 20:00,23.0,627.1,758.2,0.8,35,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.5,,,2500 or more  or no clouds.,,,9.0,6.7,No precipitation,12,,,,
