Local time in Ruili,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,25.8,692.2,756.3,0.0,35,Wind blowing from the north,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,30.9,,,2500 or more  or no clouds.,,,9.0,9.2,No precipitation,12,,,,
07.04.2020 17:00,29.5,692.2,755.8,-1.6,23,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,30.9,,,2500 or more  or no clouds.,,,10.0,6.2,No precipitation,12,,,,
07.04.2020 14:00,28.2,693.8,757.5,-1.8,33,Wind blowing from the south-west,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,30.8,,,2500 or more  or no clouds.,,,6.0,10.4,No precipitation,12,,,,
07.04.2020 11:00,20.0,695.6,760.1,0.9,53,Wind blowing from the south-southwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,,,,2500 or more  or no clouds.,,,3.9,10.1,No precipitation,12,,,,
07.04.2020 08:00,14.4,694.7,759.1,1.0,70,Wind blowing from the south-southeast,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,30.8,,,2500 or more  or no clouds.,,,3.9,9.0,No precipitation,12,,,,
07.04.2020 05:00,14.7,693.7,757.3,-0.5,72,Wind blowing from the west-southwest,1,,7,,Haze. ,,,14.5,30.8,,,2500 or more  or no clouds.,,,4.1,9.7,No precipitation,12,,,,
07.04.2020 02:00,16.3,694.2,757.7,,67,Wind blowing from the west-southwest,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,30.8,,,2500 or more  or no clouds.,,,5.0,10.2,No precipitation,12,,,,
06.04.2020 20:00,24.9,692.7,756.8,0.4,35,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,30.8,,,2500 or more  or no clouds.,,,10.0,8.4,No precipitation,12,,,,
06.04.2020 17:00,30.3,692.3,755.6,-1.9,19,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,31.0,,,2500 or more  or no clouds.,,,12.0,4.1,No precipitation,12,,,,
06.04.2020 14:00,29.8,694.2,757.6,-2.1,21,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,31.5,,,2500 or more  or no clouds.,,,10.0,5.1,No precipitation,12,,,,
06.04.2020 11:00,21.3,696.3,760.6,1.1,54,Wind blowing from the south-southwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,31.5,,,2500 or more  or no clouds.,,,3.8,11.6,No precipitation,12,,,,
06.04.2020 08:00,14.6,695.2,759.6,0.9,76,Wind blowing from the north,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,31.5,,,2500 or more  or no clouds.,,,2.8,10.4,No precipitation,12,,,,
06.04.2020 05:00,16.4,694.3,757.8,-0.8,69,Wind blowing from the west,1,,9,,Haze. ,,,15.3,31.5,,,2500 or more  or no clouds.,,,4.5,10.7,No precipitation,12,,,,
06.04.2020 02:00,18.0,695.1,758.6,,67,Wind blowing from the west,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,31.5,,,2500 or more  or no clouds.,,,5.0,11.8,No precipitation,12,,,,
05.04.2020 20:00,25.0,693.5,757.6,0.7,42,Wind blowing from the north-west,2,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,31.5,,,2500 or more  or no clouds.,,,7.0,11.2,No precipitation,12,,,,
05.04.2020 17:00,30.9,692.8,756.1,-1.8,18,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,31.5,,,2500 or more  or no clouds.,,,15.0,3.8,No precipitation,12,,,,
05.04.2020 14:00,28.7,694.6,758.2,,33,Wind blowing from the south-west,2,,5,, ,,,15.3,31.4,,,,,,9.0,10.9,No precipitation,6,,,,
05.04.2020 11:00,20.4,696.9,761.3,1.0,58,Wind blowing from the west,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,,,,2500 or more  or no clouds.,,,5.0,11.9,No precipitation,12,,,,
05.04.2020 08:00,15.5,695.9,760.2,1.3,77,Wind blowing from the west,0,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,31.4,,,2500 or more  or no clouds.,,,6.0,11.5,No precipitation,12,,,,
05.04.2020 05:00,16.2,694.6,758.1,-0.9,78,Calm  no wind,0,,,,Haze. ,,,16.0,31.4,,,2500 or more  or no clouds.,,,6.0,12.4,No precipitation,12,,,,
05.04.2020 02:00,17.7,695.5,759.1,,66,Wind blowing from the south-west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,31.4,,,2500 or more  or no clouds.,,,10.0,11.3,No precipitation,12,,,,
04.04.2020 20:00,25.6,694.0,757.7,0.6,40,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,31.4,,,2500 or more  or no clouds.,,,17.0,11.0,No precipitation,12,,,,
04.04.2020 17:00,31.0,693.4,756.4,,20,Wind blowing from the west,4,,11,, ,,,19.0,31.7,,,,,,21.0,5.4,No precipitation,6,,,,
04.04.2020 14:00,29.3,695.2,758.4,-1.7,37,Wind blowing from the west-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,31.8,,,2500 or more  or no clouds.,,,8.0,13.1,No precipitation,12,,,,
04.04.2020 11:00,23.1,696.9,760.9,1.4,51,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,,,,2500 or more  or no clouds.,,,8.0,12.4,No precipitation,12,,,,
04.04.2020 08:00,19.1,695.5,759.3,1.2,69,Wind blowing from the east-northeast,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.8,,,2500 or more  or no clouds.,,,7.0,13.3,No precipitation,12,,,,
04.04.2020 05:00,19.6,694.3,757.3,,66,Wind blowing from the south-east,2,,6,,Haze. ,,,15.6,31.8,,,,,,6.0,13.1,No precipitation,6,,,,
04.04.2020 02:00,20.1,694.3,757.6,,62,Wind blowing from the west-northwest,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.8,,,2500 or more  or no clouds.,,,7.0,12.6,No precipitation,12,,,,
03.04.2020 20:00,26.3,693.0,756.9,0.4,36,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.8,,,2500 or more  or no clouds.,,,14.0,10.1,No precipitation,12,,,,
03.04.2020 17:00,31.6,692.6,755.7,-2.2,27,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,31.8,,,2500 or more  or no clouds.,,,11.0,10.3,No precipitation,12,,,,
03.04.2020 14:00,29.0,694.8,758.3,-1.7,31,Wind blowing from the west,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.4,,,2500 or more  or no clouds.,,,5.0,10.2,No precipitation,12,,,,
