Local time in Simao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,20.3,651.3,755.8,1.5,37,Wind blowing from the north-west,1,,11,,Cloud development not observed or not observable. ,,,13.9,30.5,,,2500 or more  or no clouds.,,,12.0,5.1,No precipitation,12,,,,
07.04.2020 20:00,25.8,649.8,755.0,0.9,23,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,30.5,,,2500 or more  or no clouds.,,,14.0,3.1,No precipitation,12,,,,
07.04.2020 17:00,29.9,648.9,753.1,-1.9,16,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,30.8,,,2500 or more  or no clouds.,,,19.0,1.4,No precipitation,12,,,,
07.04.2020 14:00,28.9,650.8,755.1,-2.0,19,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,30.8,,,2500 or more  or no clouds.,,,18.0,3.0,No precipitation,12,,,,
07.04.2020 11:00,25.5,652.8,757.4,0.8,22,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,30.8,,,2500 or more  or no clouds.,,,12.0,2.2,No precipitation,12,,,,
07.04.2020 08:00,14.9,652.0,757.5,1.1,57,Wind blowing from the north-west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,30.8,,,2500 or more  or no clouds.,,,9.0,6.5,No precipitation,12,,,,
07.04.2020 05:00,15.5,650.9,755.3,-0.5,55,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,,,15.5,30.8,,,2500 or more  or no clouds.,,,11.0,6.5,No precipitation,12,,,,
07.04.2020 02:00,17.4,651.4,755.8,0.1,47,Wind blowing from the west-northwest,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,30.8,,,2500 or more  or no clouds.,,,12.0,6.0,No precipitation,12,,,,
06.04.2020 23:00,20.9,651.3,755.5,1.6,35,Wind blowing from the north,1,,11,,Cloud development not observed or not observable. ,,,17.2,30.8,,,2500 or more  or no clouds.,,,11.0,4.9,No precipitation,12,,,,
06.04.2020 20:00,26.5,649.7,754.3,1.0,20,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,30.8,,,2500 or more  or no clouds.,,,14.0,1.7,No precipitation,12,,,,
