Local time in Zhaotong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 20:00,8.7,603.6,762.6,0.8,82,Wind blowing from the north,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,12.4,,,2500 or more  or no clouds.,,,28.0,5.8,No precipitation,12,,,,
07.04.2020 17:00,11.3,602.8,760.8,-1.4,69,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,12.4,,,2500 or more  or no clouds.,,,21.0,5.8,,,,,,
07.04.2020 14:00,11.1,604.2,762.7,-1.6,69,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,11.1,,,2500 or more  or no clouds.,,,23.0,5.6,4.0,12,,,,
07.04.2020 11:00,8.5,605.8,765.1,0.8,78,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,10.2,,,2500 or more  or no clouds.,,,21.0,4.9,6.0,12,,,,
07.04.2020 08:00,5.7,605.0,764.9,0.5,93,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,,,,2500 or more  or no clouds.,,,11.0,4.7,6.0,12,,,,
07.04.2020 05:00,5.6,604.5,763.7,-1.4,94,Wind blowing from the south,1,,8,,Rain (not freezing) not falling as shower(s). ,,,4.6,10.2,,,2500 or more  or no clouds.,,,13.0,4.7,6.0,12,,,,
07.04.2020 02:00,5.7,605.9,765.8,,94,Wind blowing from the west,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,10.2,,,2500 or more  or no clouds.,,,10.0,4.8,2.0,12,,,,
06.04.2020 20:00,6.8,604.2,764.3,1.0,82,Wind blowing from the north-northeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,10.2,,,2500 or more  or no clouds.,,,21.0,3.9,No precipitation,12,,,,
06.04.2020 17:00,8.9,603.2,762.4,-1.4,70,Wind blowing from the north-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,10.2,,,2500 or more  or no clouds.,,,20.0,3.7,No precipitation,12,,,,
06.04.2020 14:00,7.5,604.6,764.6,-1.4,77,Wind blowing from the north-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,9.2,,,2500 or more  or no clouds.,,,17.0,3.7,0.4,12,,,,
06.04.2020 11:00,7.6,606.0,766.2,0.1,76,Wind blowing from the south,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,7.7,,,2500 or more  or no clouds.,,,15.0,3.6,2.0,12,,,,
06.04.2020 08:00,4.7,605.9,766.8,0.4,87,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,,,,2500 or more  or no clouds.,,,21.0,2.7,3.0,12,,,,
06.04.2020 05:00,4.6,605.5,766.0,-1.2,91,Wind blowing from the east,1,,8,,Rain (not freezing) not falling as shower(s). ,,,3.5,7.6,,,2500 or more  or no clouds.,,,27.0,3.3,3.0,12,,,,
06.04.2020 02:00,4.6,606.7,767.2,,93,Wind blowing from the north,0,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,7.6,,,2500 or more  or no clouds.,,,7.0,3.6,2.0,12,,,,
