Local time in Wenzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
07.04.2020 23:00,11.4,762.1,765.7,0.3,73,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,,,11.2,19.0,,,2500 or more  or no clouds.,,,8.0,6.7,No precipitation,12,,,,
07.04.2020 20:00,13.0,761.8,765.3,1.2,59,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,19.0,,,2500 or more  or no clouds.,,,19.0,5.2,No precipitation,12,,,,
07.04.2020 17:00,15.9,760.6,764.1,0.1,51,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,19.0,,,2500 or more  or no clouds.,,,19.0,5.8,No precipitation,12,,,,
07.04.2020 14:00,17.9,760.5,764.0,-1.1,46,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,19.0,,,2500 or more  or no clouds.,,,16.0,6.1,No precipitation,12,,,,
07.04.2020 11:00,17.9,761.6,765.1,0.4,63,Wind blowing from the south-east,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,17.9,,,2500 or more  or no clouds.,,,7.0,10.8,No precipitation,12,,,,
07.04.2020 08:00,13.8,761.2,764.8,0.8,74,Wind blowing from the east-northeast,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.4,,,2500 or more  or no clouds.,,,6.0,9.3,No precipitation,12,,,,
07.04.2020 05:00,11.3,760.4,763.9,-0.5,86,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,,,11.2,14.4,,,2500 or more  or no clouds.,,,7.0,9.0,No precipitation,12,,,,
07.04.2020 02:00,11.5,760.9,764.5,-1.5,84,Wind blowing from the north-west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.4,,,2500 or more  or no clouds.,,,6.0,8.9,No precipitation,12,,,,
06.04.2020 23:00,12.0,762.4,766.0,0.2,79,Wind blowing from the north-east,0,,5,,Cloud development not observed or not observable. ,,,11.2,14.4,,,2500 or more  or no clouds.,,,9.0,8.5,No precipitation,12,,,,
06.04.2020 20:00,12.3,762.2,765.7,1.0,77,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.4,,,2500 or more  or no clouds.,,,12.0,8.4,No precipitation,12,,,,
06.04.2020 17:00,13.2,761.2,764.8,-1.2,69,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.4,,,2500 or more  or no clouds.,,,13.0,7.6,No precipitation,12,,,,
06.04.2020 14:00,13.8,762.4,765.9,-1.4,64,Wind blowing from the east-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.4,,,2500 or more  or no clouds.,,,11.0,7.1,No precipitation,12,,,,
06.04.2020 11:00,13.7,763.8,767.3,-0.1,72,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,14.5,,,2500 or more  or no clouds.,,,9.0,8.7,No precipitation,12,,,,
06.04.2020 08:00,11.8,763.9,767.5,0.3,80,Wind blowing from the east,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,2500 or more  or no clouds.,,,5.0,8.5,No precipitation,12,,,,
06.04.2020 05:00,11.3,763.6,767.1,-0.7,83,Wind blowing from the north,1,,5,,Cloud development not observed or not observable. ,,,11.3,,,,2500 or more  or no clouds.,,,8.0,8.5,No precipitation,12,,,,
06.04.2020 02:00,11.4,764.3,767.8,-1.2,81,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,14.5,,,2500 or more  or no clouds.,,,12.0,8.3,No precipitation,12,,,,
05.04.2020 23:00,11.7,765.5,769.0,0.4,81,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,,,11.5,14.5,,,2500 or more  or no clouds.,,,8.0,8.6,No precipitation,12,,,,
